Gene_ID,baseMean,log2FoldChange,padj,EC,cazyme_fam,sub_fam,diamond_fam,Substrate,#ofTools,DOMAIN,ACCESSION,EVALUE,QSTART,QEND,HMMSTART,HMMEND
UHM102.35765__k141_81631_362,701.746897874633,-3.70660860007317,7.8193125929799e-7,NA,NA,NA,NA,NA,NA,UvrA_inter,PF17760.6,1.3e-34,133,255,2,106
UHM102.35765__k141_81631_362,701.746897874633,-3.70660860007317,7.8193125929799e-7,NA,NA,NA,NA,NA,NA,UvrA_inter,PF17760.6,1.3e-34,1170,1275,1,106
UHM102.35765__k141_81631_362,701.746897874633,-3.70660860007317,7.8193125929799e-7,NA,NA,NA,NA,NA,NA,UvrA_DNA-bind,PF17755.6,2.3e-8,317,388,1,82
UHM102.35765__k141_129721_49,157.860531504406,-2.5278779771304,0.05682147438562,NA,NA,NA,NA,NA,NA,Aminotran_1_2,PF00155.26,6.1e-65,48,392,2,361
UHM102.35765__k141_129721_49,157.860531504406,-2.5278779771304,0.05682147438562,NA,NA,NA,NA,NA,NA,Aminotran_5,PF00266.24,3e-5,95,219,46,179
UHM102.35765__k141_13354_16,284.211908580567,-3.90946358481362,4.82973677495765e-7,NA,NA,NA,NA,NA,NA,RQC,PF09382.15,2.7000000000000002e-30,430,551,1,112
UHM102.35765__k141_13354_16,284.211908580567,-3.90946358481362,4.82973677495765e-7,NA,NA,NA,NA,NA,NA,DEAD,PF00270.34,2.1999999999999997e-25,22,185,4,161
UHM102.35765__k141_13354_16,284.211908580567,-3.90946358481362,4.82973677495765e-7,NA,NA,NA,NA,NA,NA,HRDC,PF00570.28,4.8e-21,576,639,4,67
UHM102.35765__k141_13354_16,284.211908580567,-3.90946358481362,4.82973677495765e-7,NA,NA,NA,NA,NA,NA,Helicase_C,PF00271.36,1.7e-18,225,332,7,110
UHM102.35765__k141_13354_16,284.211908580567,-3.90946358481362,4.82973677495765e-7,NA,NA,NA,NA,NA,NA,RecQ_Zn_bind,PF16124.10,3.3e-15,343,428,1,66
UHM102.35765__k141_66392_172,273.49275398367,-3.52402066042403,1.43504161215319e-6,NA,NA,NA,NA,NA,NA,Topoisom_bac,PF01131.25,2.8999999999999996e-111,164,613,5,410
UHM102.35765__k141_66392_172,273.49275398367,-3.52402066042403,1.43504161215319e-6,NA,NA,NA,NA,NA,NA,Toprim_Crpt,PF13342.11,1.2e-33,671,732,1,59
UHM102.35765__k141_66392_172,273.49275398367,-3.52402066042403,1.43504161215319e-6,NA,NA,NA,NA,NA,NA,Toprim_Crpt,PF13342.11,1.2e-33,787,848,1,60
UHM102.35765__k141_66392_172,273.49275398367,-3.52402066042403,1.43504161215319e-6,NA,NA,NA,NA,NA,NA,SWIB,PF02201.23,1.5e-26,907,977,3,74
UHM102.35765__k141_66392_172,273.49275398367,-3.52402066042403,1.43504161215319e-6,NA,NA,NA,NA,NA,NA,Toprim,PF01751.27,3.2e-7,4,126,1,81
