Gene_ID	KOFAM
UHM102.10840__k141_51827_1	K18555
UHM102.35765__k141_52422_32	K01845
UHM102.35765__k141_81533_62	K00789
UHM102.35765__k141_133926_162	K00812
UHM102.35765__k141_10226_46	K09013
UHM102.35765__k141_1625_4	K08194
UHM102.35765__k141_110662_189	K00262
UHM102.35765__k141_139535_60	K02014
UHM102.35765__k141_139535_60	K16090
UHM102.35765__k141_72827_12	K11690
UHM102.35765__k141_148405_88	K07003
UHM102.35765__k141_148405_216	K00457
UHM102.35765__k141_58495_120	K06041
UHM102.35765__k141_59197_6	NA
UHM102.35765__k141_25837_216	NA
UHM102.35765__k141_69425_94	K07137
UHM102.35765__k141_69425_222	NA
UHM102.35765__k141_149437_259	NA
UHM102.35765__k141_45535_7	NA
UHM102.35765__k141_52000_453	NA
UHM102.35765__k141_150784_167	NA
UHM102.35765__k141_150784_199	NA
UHM102.35765__k141_85146_2	K03076
UHM102.35765__k141_13700_5	K03798
UHM102.35765__k141_18345_48	NA
UHM102.35766__k141_118650_4	K14441
UHM102.35766__k141_102653_15	K01689
UHM102.35766__k141_65176_2	K00648
UHM102.35766__k141_37989_21	K11942
UHM102.35766__k141_102764_283	NA
UHM102.35766__k141_140660_5	K00790
UHM102.35766__k141_102851_55	K00134
UHM102.35766__k141_162765_165	K01961
UHM102.35766__k141_162765_293	K03561
UHM102.35766__k141_152338_6	K03424
UHM102.35766__k141_120935_44	K03475
UHM102.35766__k141_23458_181	K01696
UHM102.35766__k141_142113_3	K02687
UHM102.35766__k141_147716_3	K09014
UHM102.35766__k141_13401_10	K07456
UHM102.35766__k141_51493_4	NA
UHM102.35766__k141_105023_139	NA
UHM102.35766__k141_14013_35	K01251
UHM102.35766__k141_51846_6	NA
UHM102.35766__k141_171374_348	K00162
UHM102.35766__k141_132696_2	K19172
UHM102.35766__k141_14440_2	K11616
UHM102.35766__k141_4350_8	K01589
UHM102.35766__k141_89802_9	K01703
UHM102.35766__k141_69635_4	NA
UHM102.35766__k141_165686_12	K00500
UHM102.35766__k141_57977_129	K03644
UHM102.35766__k141_25241_65	K00549
UHM102.35766__k141_58684_157	K01867
UHM102.35767__k141_54123_3	NA
UHM125.35768__k141_74960_7	NA
UHM125.35768__k141_74960_103	K09476
UHM125.35768__k141_50463_5	K07452
UHM125.35768__k141_110972_45	NA
UHM125.35768__k141_105282_15	K07700
UHM125.35768__k141_125886_3	NA
UHM125.35768__k141_76701_41	K01595
UHM125.35768__k141_82067_7	K01406
UHM125.35768__k141_22597_5	K02013
UHM125.35768__k141_19096_7	NA
UHM125.35768__k141_113813_42	NA
UHM125.35769__k141_151911_59	K03286
UHM125.35769__k141_53744_11	K02014
UHM125.35769__k141_152066_17	K13735
UHM125.35769__k141_232756_19	NA
UHM125.35769__k141_277499_38	K12972
UHM125.35769__k141_72414_22	K01999
UHM125.35769__k141_27890_107	NA
UHM125.35769__k141_269584_46	NA
UHM125.35769__k141_1530_9	NA
UHM125.35769__k141_188580_6	NA
UHM125.35769__k141_270416_7	NA
UHM125.35769__k141_189741_59	K02510
UHM125.35769__k141_226529_15	K07347
UHM125.35769__k141_191516_19	NA
UHM125.35769__k141_210239_87	NA
UHM125.35769__k141_246607_32	K03329
UHM125.35769__k141_148761_2	K02674
UHM125.35770__k141_303325_14	NA
UHM125.35770__k141_303450_17	NA
UHM125.35770__k141_151934_71	NA
UHM125.35770__k141_203293_80	NA
UHM125.35770__k141_152892_25	K21007
UHM125.35770__k141_274401_21	NA
UHM125.35770__k141_295268_16	NA
UHM125.35770__k141_234079_1	NA
UHM125.35770__k141_165328_7	NA
UHM125.35770__k141_234616_128	K13472
UHM125.35770__k141_299193_82	NA
UHM125.35770__k141_299193_114	NA
UHM125.35770__k141_299193_178	K01706
UHM125.35770__k141_37250_156	NA
UHM145.35771__k141_93009_21	NA
UHM145.35771__k141_55865_54	K00873
UHM145.35771__k141_55926_33	K05970
UHM145.35771__k141_55926_97	NA
UHM145.35771__k141_4959_256	K04940
UHM145.35771__k141_33287_3	K02238
UHM145.35771__k141_33728_24	NA
UHM145.35771__k141_121887_79	NA
UHM145.35771__k141_145241_102	K17466
UHM145.35771__k141_71246_176	K02035
UHM145.35771__k141_71246_176	K15580
UHM145.35771__k141_99275_202	K04077
UHM145.35771__k141_99275_298	K04567
UHM145.35771__k141_141237_92	K01876
UHM145.35771__k141_1962_65	NA
UHM145.35771__k141_132265_82	NA
UHM145.35771__k141_85386_181	NA
UHM145.35771__k141_53940_2	K02014
UHM145.35771__k141_53940_2	K16090
UHM145.35771__k141_68385_7	K00266
UHM145.35771__k141_95261_7	K03188
UHM145.35771__k141_80478_15	K02014
UHM145.35771__k141_80478_15	K16088
UHM145.35771__k141_138443_27	K03655
UHM145.35772__k141_29948_4	NA
UHM145.35772__k141_21596_23	K10109
UHM145.35772__k141_68207_21	NA
UHM145.35772__k141_102139_185	K03215
UHM145.35772__k141_102139_281	K01270
UHM145.35772__k141_60364_195	NA
UHM145.35772__k141_13553_189	K05896
UHM145.35772__k141_111365_103	K03110
UHM145.35772__k141_68858_7	K00963
UHM145.35772__k141_98888_12	NA
UHM145.35772__k141_98888_76	NA
UHM145.35772__k141_18482_33	K15726
UHM145.35772__k141_98949_124	NA
UHM145.35772__k141_116606_67	NA
UHM145.35772__k141_86729_2	NA
UHM145.35772__k141_74074_147	NA
UHM145.35772__k141_31778_46	NA
UHM145.35772__k141_35479_74	K06199
UHM145.35772__k141_15309_13	NA
UHM145.35772__k141_104243_1	NA
UHM145.35772__k141_133952_349	K07040
UHM145.35772__k141_28868_66	K09475
UHM145.35772__k141_28868_66	K09476
UHM145.35772__k141_89048_219	K01870
UHM145.35772__k141_70499_335	K01682
UHM145.35772__k141_25235_131	K00331
UHM145.35772__k141_25235_227	NA
UHM145.35772__k141_25235_323	K01945
UHM145.35772__k141_72118_174	K03496
UHM145.35772__k141_72118_366	K02906
UHM145.35772__k141_72118_398	K01284
UHM145.35773__k141_230620_3	K01643
UHM145.35773__k141_255308_30	NA
UHM145.35773__k141_91390_18	NA
UHM145.35773__k141_59382_94	K07320
UHM145.35773__k141_207245_138	K02510
UHM145.35773__k141_207245_138	K12660
UHM145.35773__k141_2567_159	NA
UHM145.35773__k141_79693_27	NA
UHM145.35773__k141_4977_33	NA
UHM145.35773__k141_170581_14	K04095
UHM145.35773__k141_139043_11	K07709
UHM145.35773__k141_48572_27	K02939
UHM145.35773__k141_180165_1	NA
UHM17.10826__k141_181728_1	K06158
UHM17.10826__k141_146766_9	K00033
UHM17.10826__k141_92654_2	NA
UHM17.10826__k141_187819_1	K00548
UHM17.10826__k141_301002_8	K09017
UHM17.35740__k141_61772_14	NA
UHM17.35740__k141_141880_98	NA
UHM18.10827__k141_40537_21	NA
UHM18.10827__k141_41104_3	K06158
UHM18.10827__k141_72261_60	NA
UHM18.10827__k141_90765_1	NA
UHM18.10827__k141_109029_13	NA
UHM18.10827__k141_87246_34	NA
UHM18.10827__k141_102258_16	NA
UHM18.10827__k141_28876_270	NA
UHM18.10827__k141_60748_6	NA
UHM18.10827__k141_39128_2	K07107
UHM18.35741__k141_40855_2	K01835
UHM18.35741__k141_90741_2	K00616
UHM18.35741__k141_4836_26	NA
UHM18.35741__k141_95127_3	K03590
UHM18.35741__k141_140701_38	K05807
UHM18.35741__k141_86891_4	K06207
UHM18.35741__k141_55222_6	NA
UHM18.35741__k141_91515_2	K01624
UHM18.35741__k141_55754_3	NA
UHM18.35741__k141_46556_2	K07106
UHM18.35741__k141_6284_3	K02564
UHM18.35741__k141_133757_3	K24217
UHM18.35741__k141_24162_2	K00294
UHM18.35741__k141_33825_1	K06168
UHM18.35741__k141_102402_1	NA
UHM18.35741__k141_76299_24	K01200
UHM18.35741__k141_85586_4	K02469
UHM18.35741__k141_35890_30	NA
UHM18.35742__k141_82641_6	K20455
UHM18.35742__k141_172200_28	NA
UHM18.35742__k141_103447_189	K01928
UHM18.35742__k141_69108_4	K00937
UHM18.35742__k141_151837_194	NA
UHM18.35742__k141_28005_52	K03543
UHM18.35742__k141_28005_180	K01963
UHM18.35742__k141_28005_212	K10764
UHM18.35742__k141_28005_244	K06894
UHM18.35742__k141_193368_50	K07637
UHM18.35742__k141_103998_24	NA
UHM18.35742__k141_200256_27	NA
UHM18.35742__k141_111370_11	NA
UHM18.35742__k141_152342_3	K00344
UHM18.35742__k141_42379_123	K00239
UHM18.35742__k141_174395_10	NA
UHM18.35742__k141_133855_3	K02343
UHM18.35742__k141_215974_22	K01190
UHM18.35742__k141_50369_120	K01657
UHM18.35742__k141_50369_184	K21572
UHM18.35742__k141_119751_2	K04485
UHM18.35742__k141_92983_382	K00259
UHM18.35742__k141_92983_382	K00324
UHM18.35742__k141_79994_4	NA
UHM18.35742__k141_120608_67	K01745
UHM18.35742__k141_136531_110	K01752
UHM18.35742__k141_54383_237	NA
UHM20.10828__k141_35501_6	NA
UHM20.10828__k141_64585_39	NA
UHM20.10828__k141_88691_17	NA
UHM20.35743__k141_37455_29	NA
UHM20.35743__k141_87144_4	K13788
UHM20.35743__k141_125108_28	NA
UHM20.35743__k141_13256_2	K02863
UHM20.35743__k141_46841_1	K03624
UHM20.35743__k141_84010_23	K02837
UHM20.35743__k141_125504_86	K01784
UHM20.35743__k141_38984_7	K03497
UHM20.35743__k141_30888_13	NA
UHM20.35743__k141_105268_161	K00128
UHM20.35743__k141_130388_9	K15540
UHM20.35743__k141_76825_67	K21573
UHM20.35743__k141_4006_24	K15987
UHM20.35743__k141_18824_350	K02014
UHM20.35743__k141_78218_22	K01719
UHM20.35743__k141_40957_39	K21573
UHM20.35743__k141_8237_27	K01875
UHM20.35743__k141_8237_59	K06373
UHM20.35743__k141_8237_59	K06374
UHM20.35743__k141_15217_7	K00602
UHM20.35743__k141_57625_7	NA
UHM20.35744__k141_131702_59	NA
UHM20.35744__k141_72554_31	K07351
UHM20.35744__k141_118524_342	K09955
UHM20.35744__k141_118524_374	NA
UHM20.35744__k141_46800_61	NA
UHM20.35744__k141_46800_93	NA
UHM20.35744__k141_126465_161	K21087
UHM20.35744__k141_132790_3	K19304
UHM20.35744__k141_80465_1	K00962
UHM20.35744__k141_80465_97	NA
UHM20.35744__k141_191945_154	NA
UHM20.35744__k141_191945_186	K24847
UHM20.35744__k141_87145_26	K01811
UHM20.35744__k141_87243_34	K07734
UHM20.35744__k141_134037_95	NA
UHM20.35744__k141_134612_19	NA
UHM20.35744__k141_155084_335	K02931
UHM20.35744__k141_175877_2	NA
UHM20.35744__k141_136002_3	K02500
UHM20.35744__k141_77342_161	K00024
UHM20.35744__k141_183793_14	K02355
UHM20.35744__k141_183793_46	K00281
UHM22.35745__k141_106765_4	K01737
UHM22.35745__k141_45627_137	NA
UHM22.35745__k141_90575_209	K03657
UHM22.35745__k141_90575_529	K15727
UHM22.35745__k141_17269_59	NA
UHM22.35745__k141_37594_1	NA
UHM22.35745__k141_78462_91	K05366
UHM22.35745__k141_1504_55	K03406
UHM22.35745__k141_1504_55	K05876
UHM22.35745__k141_38263_11	NA
UHM22.35745__k141_103732_155	NA
UHM22.35745__k141_54695_226	K01887
UHM22.35745__k141_54695_290	NA
UHM22.35745__k141_83420_104	K03813
UHM22.35745__k141_88371_115	NA
UHM22.35745__k141_88371_147	K15726
UHM22.35745__k141_5466_94	NA
UHM22.35745__k141_50516_364	K00626
UHM22.35745__k141_50516_364	K00632
UHM22.35745__k141_43177_14	K18138
UHM22.35745__k141_43177_14	K18142
UHM22.35745__k141_84395_113	NA
UHM22.35745__k141_39700_118	K18900
UHM22.35745__k141_77793_126	NA
UHM22.35745__k141_77793_158	K00691
UHM22.35745__k141_101221_50	K21573
UHM22.35745__k141_101221_434	K01883
UHM22.35745__k141_64139_190	K01222
UHM22.35745__k141_60579_272	NA
UHM22.35746__k141_4851_80	NA
UHM22.35746__k141_33915_16	K02406
UHM22.35746__k141_91996_22	NA
UHM22.35746__k141_10104_438	K12257
UHM22.35746__k141_10104_534	K03702
UHM22.35746__k141_106907_73	NA
UHM22.35746__k141_54517_293	NA
UHM22.35746__k141_97825_29	K00525
UHM22.35746__k141_97825_93	K05989
UHM22.35746__k141_15455_201	K06020
UHM22.35746__k141_117234_127	NA
UHM22.35746__k141_131809_103	NA
UHM22.35746__k141_117567_181	K02671
UHM22.35746__k141_59210_64	K00847
UHM22.35746__k141_55676_39	K00853
UHM22.35746__k141_117683_365	NA
UHM22.35746__k141_17038_52	NA
UHM22.35746__k141_12257_16	NA
UHM22.35746__k141_66824_62	K03455
UHM22.35747__k141_4648_191	NA
UHM22.35747__k141_107797_53	NA
UHM22.35747__k141_24596_229	NA
UHM22.35747__k141_24596_325	NA
UHM22.35747__k141_84973_23	K15539
UHM22.35747__k141_56395_129	NA
UHM22.35747__k141_56395_577	NA
UHM22.35747__k141_9504_113	K00217
UHM22.35747__k141_52536_278	K05813
UHM22.35747__k141_96776_67	K07592
UHM22.35747__k141_96776_67	K14057
UHM22.35747__k141_105096_392	NA
UHM22.35747__k141_101285_56	K02523
UHM22.35747__k141_101285_184	K03977
UHM22.35747__k141_56704_44	K05349
UHM22.35747__k141_56704_268	NA
UHM22.35747__k141_50548_29	NA
UHM22.35747__k141_24731_171	K02003
UHM22.35747__k141_24731_491	NA
UHM22.35747__k141_42361_189	NA
UHM22.35747__k141_42361_413	K01687
UHM27.10829__k141_23622_46	NA
UHM27.10829__k141_177330_14	NA
UHM27.10829__k141_108398_45	K03574
UHM31.10830__k141_90906_32	K01697
UHM31.10830__k141_100653_221	K01812
UHM31.10830__k141_19816_12	K15540
UHM31.10830__k141_71515_76	K21573
UHM31.10830__k141_6917_32	K03205
UHM31.10830__k141_87824_42	K01823
UHM31.10830__k141_42491_86	K01644
UHM31.10830__k141_7059_57	K03522
UHM31.10830__k141_1255_16	NA
UHM31.10830__k141_94552_64	K14059
UHM31.10830__k141_65976_6	K07592
UHM31.10830__k141_65976_6	K14057
UHM31.10830__k141_75815_246	K03556
UHM31.10830__k141_76952_16	NA
UHM31.35748__k141_8586_17	NA
UHM31.35748__k141_21355_100	K03187
UHM31.35748__k141_126922_1	NA
UHM31.35748__k141_118261_3	NA
UHM31.35748__k141_93299_59	NA
UHM31.35748__k141_76721_30	NA
UHM31.35748__k141_19899_5	K15408
UHM31.35748__k141_44458_70	K25775
UHM31.35748__k141_28342_45	NA
UHM31.35749__k141_107087_16	K02558
UHM31.35749__k141_31883_43	NA
