Gene_ID,baseMean,log2FoldChange,padj,EC,cazyme_fam,sub_fam,diamond_fam,Substrate,#ofTools,DOMAIN,ACCESSION,EVALUE,QSTART,QEND,HMMSTART,HMMEND
UHM102.10840__k141_23678_3,119.731316906532,2.13982464580221,0.00643985477615805,NA,NA,NA,NA,NA,NA,MgtC,PF02308.21,1.1999999999999999e-39,29,151,1,118
UHM102.10840__k141_87662_1,222.250563841835,2.16276574480826,0.00438111453935616,NA,NA,NA,NA,NA,NA,TctC,PF03401.19,1e-71,63,333,1,271
UHM102.10840__k141_33948_5,365.483645897513,2.2208082011615,0.00634498121425259,NA,NA,NA,NA,NA,NA,D-ser_dehydrat,PF14031.11,5.5e-20,312,410,1,97
UHM102.10840__k141_33948_5,365.483645897513,2.2208082011615,0.00634498121425259,NA,NA,NA,NA,NA,NA,Ala_racemase_N,PF01168.25,3.3e-9,53,241,3,187
UHM102.10840__k141_91236_2,608.445184952474,2.02408413899667,0.775545874553025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UHM102.10840__k141_91236_98,1334.26633478396,2.01810506694001,0.756277539080213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UHM102.10840__k141_34031_2,247.212827894198,2.05969123773575,0.00660309477435738,NA,NA,NA,NA,NA,NA,Metallophos,PF00149.33,4.6e-11,1,238,1,191
UHM102.10840__k141_47476_2,209.283285567262,2.53208894678541,0.00413578410481948,NA,NA,NA,NA,NA,NA,SGL,PF08450.17,1.7e-41,45,283,3,244
UHM102.10840__k141_30883_3,251.496630898252,2.28952295876528,0.00453228386432331,NA,NA,NA,NA,NA,NA,Cytochrom_C_asm,PF01578.25,1.5e-27,63,266,27,211
UHM102.10840__k141_746_85,1792.81731802326,2.09099355099026,0.769765636790478,NA,NA,NA,NA,NA,NA,DDE_Tnp_ISL3,PF01610.22,6.9e-50,55,334,1,239
UHM102.10840__k141_101708_2,228.877771680004,2.38894424827573,0.00413578410481948,NA,NA,NA,NA,NA,NA,ECH_1,PF00378.25,3.2e-40,34,284,5,250
UHM102.10840__k141_101708_2,228.877771680004,2.38894424827573,0.00413578410481948,NA,NA,NA,NA,NA,NA,ECH_2,PF16113.10,5.3e-26,35,222,1,186
UHM102.10840__k141_101860_22,3529.64397696753,2.00135875192715,0.758084366195745,NA,NA,NA,NA,NA,NA,EAL,PF00563.25,1.2e-62,490,724,2,236
UHM102.10840__k141_101860_22,3529.64397696753,2.00135875192715,0.758084366195745,NA,NA,NA,NA,NA,NA,GGDEF,PF00990.26,7.1e-25,324,464,1,155
UHM102.10840__k141_27523_5,358.5955681178,2.28341207468565,0.00413578410481948,NA,NA,NA,NA,NA,NA,PmbA_TldD_3rd,PF19289.4,6.1e-65,257,468,2,220
UHM102.10840__k141_27523_5,358.5955681178,2.28341207468565,0.00413578410481948,NA,NA,NA,NA,NA,NA,PmbA_TldD_2nd,PF19290.4,1e-18,140,249,2,109
UHM102.10840__k141_27523_5,358.5955681178,2.28341207468565,0.00413578410481948,NA,NA,NA,NA,NA,NA,PmbA_TldD_1st,PF01523.21,5.1e-13,51,110,6,65
UHM102.10840__k141_91423_2,231.381888834824,2.22879465361275,0.00433820456710695,NA,NA,NA,NA,NA,NA,OmpW,PF03922.19,1.0999999999999999e-38,25,223,2,195
UHM102.10840__k141_91423_2,231.381888834824,2.22879465361275,0.00433820456710695,NA,NA,NA,NA,NA,NA,OMP_b-brl,PF13505.11,5.5e-16,9,223,3,175
UHM102.10840__k141_38077_2,262.158384538519,2.36764052706277,0.00413578410481948,NA,NA,NA,NA,NA,NA,AAA_5,PF07728.19,3.8e-33,91,232,2,139
UHM102.10840__k141_64947_5,157.52182008112,2.0592154691988,0.00515951214931958,NA,NA,NA,NA,NA,NA,ECH_1,PF00378.25,2.1999999999999997e-62,10,259,2,250
UHM102.10840__k141_64947_5,157.52182008112,2.0592154691988,0.00515951214931958,NA,NA,NA,NA,NA,NA,ECH_2,PF16113.10,1.1e-35,14,197,1,186
UHM102.10840__k141_99501_7,1319.73240361149,2.0792515975142,0.773613721398205,NA,NA,NA,NA,NA,NA,Rnf-Nqr,PF02508.19,1.7e-64,4,195,2,173
UHM102.10840__k141_51827_1,228.796896143643,2.57659068048695,0.00413578410481948,NA,NA,NA,NA,NA,NA,Pentapeptide,PF00805.27,1.4000000000000001e-30,37,72,1,36
UHM102.10840__k141_51827_1,228.796896143643,2.57659068048695,0.00413578410481948,NA,NA,NA,NA,NA,NA,Pentapeptide,PF00805.27,1.4000000000000001e-30,87,125,1,39
UHM102.10840__k141_51827_1,228.796896143643,2.57659068048695,0.00413578410481948,NA,NA,NA,NA,NA,NA,Pentapeptide,PF00805.27,1.4000000000000001e-30,119,150,3,34
UHM102.10840__k141_51827_1,228.796896143643,2.57659068048695,0.00413578410481948,NA,NA,NA,NA,NA,NA,Pentapeptide,PF00805.27,1.4000000000000001e-30,133,164,7,38
UHM102.10840__k141_51827_1,228.796896143643,2.57659068048695,0.00413578410481948,NA,NA,NA,NA,NA,NA,Pentapeptide,PF00805.27,1.4000000000000001e-30,156,189,5,38
UHM102.10840__k141_51827_1,228.796896143643,2.57659068048695,0.00413578410481948,NA,NA,NA,NA,NA,NA,Pentapeptide,PF00805.27,1.4000000000000001e-30,162,201,1,40
UHM102.10840__k141_51827_1,228.796896143643,2.57659068048695,0.00413578410481948,NA,NA,NA,NA,NA,NA,Pentapeptide_4,PF13599.11,6.7e-27,34,100,8,74
UHM102.10840__k141_51827_1,228.796896143643,2.57659068048695,0.00413578410481948,NA,NA,NA,NA,NA,NA,Pentapeptide_4,PF13599.11,6.7e-27,77,139,11,73
UHM102.10840__k141_51827_1,228.796896143643,2.57659068048695,0.00413578410481948,NA,NA,NA,NA,NA,NA,Pentapeptide_4,PF13599.11,6.7e-27,133,206,2,75
UHM102.10840__k141_51827_1,228.796896143643,2.57659068048695,0.00413578410481948,NA,NA,NA,NA,NA,NA,Pentapeptide_3,PF13576.11,1.6e-14,158,197,5,47
UHM102.10840__k141_34471_281,967.865438715056,2.00746319091521,0.79124848153538,NA,NA,NA,NA,NA,NA,Pyridox_ox_2,PF12900.12,2.6e-12,79,204,7,140
UHM102.10840__k141_34491_3,268.977433626768,2.37791094003656,0.00413578410481948,NA,NA,NA,NA,NA,NA,FMN_dh,PF01070.23,1.1999999999999998e-125,24,372,1,348
UHM102.10840__k141_34491_3,268.977433626768,2.37791094003656,0.00413578410481948,NA,NA,NA,NA,NA,NA,IMPDH,PF00478.30,2.3e-8,280,327,192,237
UHM102.10840__k141_34491_3,268.977433626768,2.37791094003656,0.00413578410481948,NA,NA,NA,NA,NA,NA,Glu_synthase,PF01645.22,3.4e-6,281,330,257,308
UHM102.10840__k141_55252_53,998.494183437514,2.05713455119449,0.716504880680541,NA,NA,NA,NA,NA,NA,Nitroreductase,PF00881.29,2.7999999999999997e-29,16,157,2,167
UHM102.10840__k141_55252_53,998.494183437514,2.05713455119449,0.716504880680541,NA,NA,NA,NA,NA,NA,TM1586_NiRdase,PF14512.11,3.3e-18,80,177,56,151
UHM102.10840__k141_85651_6,231.800822350363,2.07669127253726,0.00860717500455814,NA,NA,NA,NA,NA,NA,TctC,PF03401.19,1.1999999999999998e-67,48,319,1,272
UHM102.10840__k141_28469_3,226.841281926005,2.20911113212241,0.00444450257633203,NA,NA,NA,NA,NA,NA,Lactamase_B,PF00753.32,2.4e-24,19,204,8,196
UHM102.10840__k141_28469_3,226.841281926005,2.20911113212241,0.00444450257633203,NA,NA,NA,NA,NA,NA,Lactamase_B_2,PF12706.12,1.8e-7,33,169,5,149
UHM102.10840__k141_44614_2,151.945849075663,2.47807198376931,0.00413578410481948,NA,NA,NA,NA,NA,NA,TetR_C_24,PF17932.6,5.6e-18,87,199,2,114
UHM102.10840__k141_44614_2,151.945849075663,2.47807198376931,0.00413578410481948,NA,NA,NA,NA,NA,NA,TetR_N,PF00440.28,4.9e-17,18,64,1,47
